Lectura regla,V. Acum.,Area,V. Parcial,Cota
6.99,0.00,14382.00,0.00,1122.00
7.00,145.00,14637.00,145.00,1122.00
7.01,293.00,14892.00,148.00,1122.00
7.02,443.00,15147.00,150.00,1122.00
7.03,596.00,15402.00,153.00,1122.00
7.04,751.00,15657.00,155.00,1122.00
7.05,909.00,15912.00,158.00,1122.00
7.06,1069.00,16167.00,160.00,1122.00
7.07,1232.00,16422.00,163.00,1122.00
7.08,1398.00,16677.00,165.00,1122.00
7.09,1566.00,16932.00,168.00,1122.00
7.10,1736.00,17187.00,171.00,1122.00
7.11,1909.00,17442.00,173.00,1122.00
7.12,2085.00,17697.00,176.00,1122.00
7.13,2263.00,17952.00,178.00,1122.00
7.14,2444.00,18207.00,181.00,1122.00
7.15,2628.00,18462.00,183.00,1122.00
7.16,2813.00,18717.00,186.00,1122.00
7.17,3002.00,18972.00,188.00,1122.00
7.18,3193.00,19226.00,191.00,1122.00
7.19,3386.00,19481.00,194.00,1122.00
7.20,3582.00,19736.00,196.00,1122.00
7.21,3781.00,19991.00,199.00,1122.00
7.22,3982.00,20246.00,201.00,1122.00
7.23,4186.00,20501.00,204.00,1122.00
7.24,4392.00,20756.00,206.00,1122.00
7.25,4601.00,21063.00,209.00,1122.00
7.26,4814.00,21369.00,212.00,1122.00
7.27,5029.00,21676.00,215.00,1122.00
7.28,5247.00,21982.00,218.00,1122.00
7.29,5468.00,22289.00,221.00,1122.00
7.30,5693.00,22595.00,224.00,1122.00
7.31,5920.00,22902.00,227.00,1122.00
7.32,6151.00,23208.00,231.00,1122.00
7.33,6385.00,23515.00,234.00,1122.00
7.34,6621.00,23821.00,237.00,1122.00
7.35,6861.00,24128.00,240.00,1122.00
7.36,7104.00,24435.00,243.00,1122.00
7.37,7350.00,24741.00,246.00,1122.00
7.38,7599.00,25048.00,249.00,1122.00
7.39,7851.00,25354.00,252.00,1122.00
7.40,8106.00,25661.00,255.00,1122.00
7.41,8364.00,25967.00,258.00,1122.00
7.42,8625.00,26274.00,261.00,1122.00
7.43,8889.00,26580.00,264.00,1122.00
7.44,9157.00,26887.00,267.00,1122.00
7.45,9427.00,27193.00,270.00,1122.00
7.46,9700.00,27500.00,273.00,1122.00
7.47,9977.00,27806.00,277.00,1122.00
7.48,10257.00,28113.00,280.00,1122.00
7.49,10539.00,28419.00,283.00,1122.00
7.50,10825.00,28777.00,286.00,1122.00
7.51,11115.00,29134.00,290.00,1122.00
7.52,11408.00,29492.00,293.00,1122.00
7.53,11705.00,29850.00,297.00,1122.00
7.54,12005.00,30207.00,300.00,1122.00
7.55,12309.00,30565.00,304.00,1122.00
7.56,12616.00,30922.00,307.00,1122.00
7.57,12927.00,31280.00,311.00,1122.00
7.58,13242.00,31637.00,315.00,1122.00
7.59,13560.00,31995.00,318.00,1122.00
7.60,13882.00,32352.00,322.00,1122.00
7.61,14207.00,32710.00,325.00,1122.00
7.62,14536.00,33067.00,329.00,1122.00
7.63,14868.00,33425.00,332.00,1122.00
7.64,15204.00,33783.00,336.00,1122.00
7.65,15544.00,34140.00,340.00,1122.00
7.66,15887.00,34498.00,343.00,1122.00
7.67,16234.00,34855.00,347.00,1122.00
7.68,16584.00,35213.00,350.00,1122.00
7.69,16938.00,35570.00,354.00,1122.00
7.70,17296.00,35928.00,357.00,1122.00
7.71,17657.00,36285.00,361.00,1122.00
7.72,18021.00,36643.00,365.00,1122.00
7.73,18390.00,37000.00,368.00,1122.00
7.74,18761.00,37358.00,372.00,1123.00
7.75,19141.00,38541.00,379.00,1123.00
7.76,19532.00,39723.00,391.00,1123.00
7.77,19935.00,40906.00,403.00,1123.00
7.78,20350.00,42089.00,415.00,1123.00
7.79,20777.00,43271.00,427.00,1123.00
7.80,21216.00,44454.00,439.00,1123.00
7.81,21666.00,45637.00,450.00,1123.00
7.82,22129.00,46820.00,462.00,1123.00
7.83,22603.00,48002.00,474.00,1123.00
7.84,23089.00,49185.00,486.00,1123.00
7.85,23586.00,50368.00,498.00,1123.00
7.86,24096.00,51550.00,510.00,1123.00
7.87,24617.00,52733.00,521.00,1123.00
